Food,EAT_Lancet,Urban,Rural,Highest_MPCE_Urban,Highest_MPCE_Rural,Lowest_MPCE_Urban,Lowest_MPCE_Decile
Whole grains,811,1029,1275,864,1347,1069,1159
Potato and Cassava,39,51,63,56,58,56,57
Vegetables,78,63,53,93,90,35,30
Fruits,126,46,28,122,81,9,5
Dairy Foods,153,184,145,362,366,49,27
Protein sources,726,151,125,230,262,76,63
All Animal source proteins,151,33,26,60,66,10,6
Beef and lamb,15,5,3,7,11,2,0
Pork,15,0,0,0,0,0,0
Poultry,62,8,6,16,16,1,1
Eggs,19,10,6,18,13,3,1
Fish,40,8,9,16,23,3,2
Legumes,426,95,84,122,143,61,55
Tree nuts,149,21,14,47,52,4,1
Added fats,450,271,207,370,375,137,104
Palm Oil,60,154,94,222,201,54,38
Unsaturated Fats,354,101,107,104,147,82,65
Dairy Fats,0,15,5,42,26,0,0
Lard,36, , , , , , 
All sweeteners,120,114,102,139,202,65,47
Processed Food,100,263,204,911,407,131,136
Spices,,39,35,51,63,21,18
Total,2503,2169,2214,3079,3174,1643,1645
